Date,goldAM,goldPM,silver,platinumAM,platinumPM,palladiumAM,palladiumPM,Platinum,Palladium,Rhodium,Iridium,Ruthenium
1994-09-01,,,,,,,,414.25,153.25,830.0,70.0,18.0
1994-09-02,,,,,,,,415.5,154.0,830.0,70.0,18.0
1994-09-05,,,,,,,,417.5,155.0,830.0,70.0,18.0
1994-09-06,,,,,,,,418.25,155.0,827.5,70.0,18.0
1994-09-07,,,,,,,,421.0,155.0,820.0,70.0,18.0
1994-09-08,,,,,,,,420.25,154.75,820.0,70.0,18.0
1994-09-09,,,,,,,,419.0,153.5,817.5,70.0,18.0
1994-09-12,,,,,,,,419.75,152.25,810.0,70.0,18.0
1994-09-13,,,,,,,,416.75,150.0,810.0,70.0,18.0
1994-09-14,,,,,,,,417.25,150.5,807.5,70.0,18.0
1994-09-15,,,,,,,,411.75,149.5,800.0,70.0,18.0
1994-09-16,,,,,,,,411.0,150.25,800.0,70.0,18.0
1994-09-19,,,,,,,,413.0,152.0,800.0,70.0,18.0
1994-09-20,,,,,,,,416.25,154.75,797.5,70.0,18.0
1994-09-21,,,,,,,,420.0,157.5,790.0,70.0,18.0
1994-09-22,,,,,,,,418.75,156.25,790.0,70.0,18.0
1994-09-23,,,,,,,,422.0,157.0,790.0,70.0,18.0
1994-09-26,,,,,,,,420.25,156.75,790.0,70.0,18.0
1994-09-27,,,,,,,,418.5,155.75,787.5,70.0,18.0
1994-09-28,,,,,,,,420.0,155.25,780.0,70.0,18.0
1994-09-29,,,,,,,,417.5,153.0,775.0,70.0,18.0
1994-09-30,,,,,,,,419.0,153.25,770.0,70.0,18.0
1994-10-03,,,,,,,,417.5,153.25,770.0,70.0,18.0
1994-10-04,,,,,,,,419.0,153.25,770.0,70.0,18.0
1994-10-05,,,,,,,,420.0,153.75,767.5,70.0,18.0
1994-10-06,,,,,,,,421.25,154.5,760.0,70.0,18.0
1994-10-07,,,,,,,,420.25,154.25,760.0,70.0,18.5
1994-10-10,,,,,,,,419.0,153.75,760.0,70.0,20.0
1994-10-11,,,,,,,,416.25,152.75,755.0,70.0,20.0
1994-10-12,,,,,,,,416.5,152.75,750.0,70.0,20.0
1994-10-13,,,,,,,,416.5,153.0,720.0,70.0,20.0
1994-10-14,,,,,,,,414.5,152.75,720.0,70.0,20.0
1994-10-17,,,,,,,,416.75,154.5,720.0,70.0,20.0
1994-10-18,,,,,,,,419.0,155.25,720.0,70.0,20.0
1994-10-19,,,,,,,,418.0,155.75,710.0,70.0,20.0
1994-10-20,,,,,,,,422.75,156.75,710.0,70.0,20.0
1994-10-21,,,,,,,,426.0,157.0,710.0,70.0,20.0
1994-10-24,,,,,,,,422.0,157.0,710.0,70.0,20.0
1994-10-25,,,,,,,,423.0,157.3333,710.0,70.0,20.0
1994-10-26,,,,,,,,422.0,158.3333,706.6667,70.0,20.0
1994-10-27,,,,,,,,424.3333,159.0,700.0,70.0,20.0
1994-10-28,,,,,,,,424.3333,160.6667,700.0,70.0,20.6667
1994-10-31,,,,,,,,421.25,160.25,700.0,70.0,22.0
